"Protein1","Protein2","Gene1","Gene2","Context","StringScore"
"P17096","Q93077","HMGA1","H2AC6","poor",0
"P17096","Q93079","HMGA1","H2BC9","rich",0
"P17096","Q96A08","HMGA1","H2BC1","rich",0
"P17096","Q96KK5","HMGA1","H2AC12","poor",0
"P17096","Q99877","HMGA1","H2BC15","rich",0
"P17096","Q99878","HMGA1","H2AC14","poor",0
"P17096","Q99879","HMGA1","H2BC14","rich",0
"P17096","Q99880","HMGA1","H2BC13","rich",0
"P17252","Q00341","PRKCA","HDLBP","poor",0
"P17275","Q6S8J3","JUNB","POTEE","poor",0
"P17275","Q9BYX7","JUNB","POTEKP","poor",0
"P17480","P62277","UBTF","RPS13","poor",0
"P17480","Q7Z417","UBTF","NUFIP2","poor",0
"P17516","P42330","AKR1C4","AKR1C3","poor",879
"P17661","P19012","DES","KRT15","poor",0
"P17661","P48681","DES","NES","poor",0
"P17661","P62937","DES","PPIA","poor",0
"P17661","Q04695","DES","KRT17","poor",0
"P17661","Q16352","DES","INA","rich",0
"P17661","Q99456","DES","KRT12","poor",0
"P17661","Q9NSB2","DES","KRT84","poor",0
"P17844","Q8N3X1","DDX5","FNBP4","poor",247
"P17844","Q92841","DDX5","DDX17","poor",889
"P17980","P24534","PSMC3","EEF1B2","poor",306
"P17980","P29692","PSMC3","EEF1D","poor",273
"P17980","P35998","PSMC3","PSMC2","poor",999
"P17980","P43686","PSMC3","PSMC4","poor",999
"P17980","P51665","PSMC3","PSMD7","poor",999
"P17980","P62333","PSMC3","PSMC6","poor",999
"P17987","P23508","TCP1","MCC","poor",0
"P17987","P48643","TCP1","CCT5","poor",999
"P17987","P49368","TCP1","CCT3","rich",999
"P17987","P50990","TCP1","CCT8","poor",999
"P17987","P50991","TCP1","CCT4","rich",999
"P17987","P78371","TCP1","CCT2","poor",999
"P17987","Q03001","TCP1","DST","poor",238
"P17987","Q99832","TCP1","CCT7","poor",999
"P18074","P46778","ERCC2","RPL21","poor",0
"P18074","P62753","ERCC2","RPS6","poor",0
"P18077","P40429","RPL35A","RPL13A","poor",999
"P18077","Q02878","RPL35A","RPL6","poor",999
"P18124","P36578","RPL7","RPL4","poor",999
"P18124","Q02543","RPL7","RPL18A","poor",999
"P18206","P78347","VCL","GTF2I","poor",0
"P18206","Q12840","VCL","KIF5A","poor",0
"P18583","P35579","SON","MYH9","poor",0
"P18621","P62899","RPL17","RPL31","poor",999
"P18669","P22695","PGAM1","UQCRC2","poor",189
"P18669","Q9UI12","PGAM1","ATP6V1H","poor",0
"P18754","P20671","RCC1","H2AC7","poor",0
"P18754","P62826","RCC1","RAN","poor",999
"P18754","Q16777","RCC1","H2AC20","poor",0
"P18754","Q6FI13","RCC1","H2AC18","poor",0
"P18754","Q7L7L0","RCC1","H2AW","poor",0
"P18754","Q8IUE6","RCC1","H2AC21","poor",0
"P18754","Q93077","RCC1","H2AC6","poor",0
"P18754","Q96KK5","RCC1","H2AC12","poor",0
"P18754","Q96QV6","RCC1","H2AC1","poor",0
"P18754","Q99878","RCC1","H2AC14","poor",0
"P18754","Q9BTM1","RCC1","H2AJ","poor",0
"P18887","Q92797","XRCC1","SYMPK","poor",169
"P19012","P35908","KRT15","KRT2","poor",227
"P19012","P41219","KRT15","PRPH","poor",152
"P19012","P78385","KRT15","KRT83","poor",195
"P19012","P78386","KRT15","KRT85","poor",179
"P19012","Q01546","KRT15","KRT76","poor",0
"P19012","Q14533","KRT15","KRT81","poor",305
"P19012","Q14CN4","KRT15","KRT72","poor",234
"P19012","Q7Z794","KRT15","KRT77","poor",231
"P19012","Q9NSB2","KRT15","KRT84","poor",0
"P19105","P35579","MYL12A","MYH9","poor",978
"P19105","P35580","MYL12A","MYH10","poor",978
"P19338","P78527","NCL","PRKDC","poor",348
"P19338","Q02539","NCL","H1-1","poor",204
"P19338","Q13596","NCL","SNX1","poor",0
"P19338","Q5VWN6","NCL","TASOR2","poor",0
"P19338","Q92878","NCL","RAD50","poor",0
"P19338","Q9UBN7","NCL","HDAC6","poor",312
"P19387","P62875","POLR2C","POLR2L","poor",999
"P19525","P48741","EIF2AK2","HSPA7","poor",0
"P19525","P62277","EIF2AK2","RPS13","poor",424
"P19823","P27695","ITIH2","APEX1","poor",0
"P20020","P42704","ATP2B1","LRPPRC","poor",0
"P20042","P41091","EIF2S2","EIF2S3","rich",999
"P20042","Q2VIR3","EIF2S2","EIF2S3B","poor",967
"P20042","Q92692","EIF2S2","NECTIN2","poor",0
"P20290","P62899","BTF3","RPL31","rich",998
"P20290","Q13765","BTF3","NACA","poor",999
"P20290","Q9BZK3","BTF3","NACA4P","poor",0
"P20290","Q9Y2W1","BTF3","THRAP3","poor",179
"P20337","P61006","RAB3B","RAB8A","poor",350
"P20337","Q92930","RAB3B","RAB8B","poor",0
"P20337","Q9H0U4","RAB3B","RAB1B","poor",0
"P20618","P22307","PSMB1","SCP2","poor",0
"P20618","Q99436","PSMB1","PSMB7","poor",999
"P20671","P20936","H2AC7","RASA1","poor",0
"P20671","P21333","H2AC7","FLNA","poor",0
"P20671","P22492","H2AC7","H1-6","rich",0
"P20671","P23527","H2AC7","H2BC17","rich",0
"P20671","P24043","H2AC7","LAMA2","poor",0
"P20671","P26583","H2AC7","HMGB2","poor",204
"P20671","P30260","H2AC7","CDC27","poor",0
"P20671","P31629","H2AC7","HIVEP2","poor",0
"P20671","P33778","H2AC7","H2BC3","rich",0
"P20671","P35663","H2AC7","CYLC1","poor",0
"P20671","P42166","H2AC7","TMPO","poor",0
"P20671","P42167","H2AC7","TMPO","poor",0
"P20671","P45378","H2AC7","TNNT3","poor",0
"P20671","P46776","H2AC7","RPL27A","poor",0
"P20671","P49641","H2AC7","MAN2A2","poor",0
"P20671","P50570","H2AC7","DNM2","poor",0
"P20671","P50579","H2AC7","METAP2","poor",0
"P20671","P51825","H2AC7","AFF1","poor",0
"P20671","P54709","H2AC7","ATP1B3","poor",0
"P20671","P57053","H2AC7","H2BC12L","rich",0
"P20671","P58876","H2AC7","H2BC5","rich",0
"P20671","P59045","H2AC7","NLRP11","poor",0
"P20671","P60709","H2AC7","ACTB","poor",911
"P20671","P62316","H2AC7","SNRPD2","poor",0
"P20671","P62495","H2AC7","ETF1","poor",0
"P20671","P62805","H2AC7","H4C1","rich",936
"P20671","P62807","H2AC7","H2BC4","rich",940
"P20671","P62979","H2AC7","RPS27A","poor",913
"P20671","P62987","H2AC7","UBA52","poor",913
"P20671","P63261","H2AC7","ACTG1","poor",151
"P20671","P63267","H2AC7","ACTG2","poor",151
"P20671","P68032","H2AC7","ACTC1","poor",151
"P20671","P68133","H2AC7","ACTA1","poor",151
"P20671","P68431","H2AC7","H3C1","rich",935
"P20671","P82675","H2AC7","MRPS5","poor",0
"P20671","P84243","H2AC7","H3-3A","rich",361
"P20671","Q00839","H2AC7","HNRNPU","poor",0
"P20671","Q02539","H2AC7","H1-1","rich",342
"P20671","Q12864","H2AC7","CDH17","poor",0
"P20671","Q13123","H2AC7","IK","poor",0
"P20671","Q13319","H2AC7","CDK5R2","poor",0
"P20671","Q13895","H2AC7","BYSL","poor",0
"P20671","Q14202","H2AC7","ZMYM3","poor",0
"P20671","Q14974","H2AC7","KPNB1","poor",253
"P20671","Q14980","H2AC7","NUMA1","poor",0
"P20671","Q15003","H2AC7","NCAPH","poor",191
"P20671","Q15596","H2AC7","NCOA2","poor",0
"P20671","Q15651","H2AC7","HMGN3","poor",0
"P20671","Q15788","H2AC7","NCOA1","poor",0
"P20671","Q16695","H2AC7","H3-4","rich",0
"P20671","Q16777","H2AC7","H2AC20","rich",0
"P20671","Q16778","H2AC7","H2BC21","rich",0
"P20671","Q1ED39","H2AC7","KNOP1","poor",0
"P20671","Q2KJY2","H2AC7","KIF26B","poor",0
"P20671","Q2TAA8","H2AC7","TSNAXIP1","poor",0
"P20671","Q53EL6","H2AC7","PDCD4","poor",0
"P20671","Q5GLZ8","H2AC7","HERC4","poor",0
"P20671","Q5MIZ7","H2AC7","PPP4R3B","poor",202
"P20671","Q5QNW6","H2AC7","H2BC18","rich",0
"P20671","Q5SSJ5","H2AC7","HP1BP3","poor",215
"P20671","Q5T0J7","H2AC7","TEX35","poor",0
"P20671","Q5T1M5","H2AC7","FKBP15","poor",216
"P20671","Q5TEC6","H2AC7","H3-7","rich",0
"P20671","Q6DN03","H2AC7","H2BC20P","rich",0
"P20671","Q6DRA6","H2AC7","H2BC19P","rich",0
"P20671","Q6FI13","H2AC7","H2AC18","rich",0
"P20671","Q6IN85","H2AC7","PPP4R3A","poor",202
"P20671","Q6NUQ4","H2AC7","TMEM214","poor",0
"P20671","Q6NXT2","H2AC7","H3-5","rich",0
"P20671","Q6QEF8","H2AC7","CORO6","poor",0
"P20671","Q6ZN28","H2AC7","MACC1","poor",0
"P20671","Q6ZU35","H2AC7","CRACD","poor",0
"P20671","Q6ZU65","H2AC7","UBN2","poor",0
"P20671","Q71DI3","H2AC7","H3C15","rich",0
"P20671","Q71UI9","H2AC7","H2AZ2","poor",0
"P20671","Q7L7L0","H2AC7","H2AW","poor",0
"P20671","Q7Z569","H2AC7","BRAP","poor",0
"P20671","Q7Z6W7","H2AC7","DNAJB7","poor",0
"P20671","Q7Z7J5","H2AC7","DPPA2","poor",0
"P20671","Q8N257","H2AC7","H2BU1","rich",0
"P20671","Q8N3V7","H2AC7","SYNPO","poor",0
"P20671","Q8N3X6","H2AC7","LCORL","poor",0
"P20671","Q8N6R0","H2AC7","METTL13","poor",0
"P20671","Q8N9I9","H2AC7","DTX3","poor",0
"P20671","Q8NBS3","H2AC7","SLC4A11","poor",0
"P20671","Q8NDW8","H2AC7","TTC21A","poor",0
"P20671","Q8TEW8","H2AC7","PARD3B","poor",0
"P20671","Q8WVY7","H2AC7","UBLCP1","poor",0
"P20671","Q92503","H2AC7","SEC14L1","poor",0
"P20671","Q92522","H2AC7","H1-10","rich",0
"P20671","Q92890","H2AC7","UFD1","poor",0
"P20671","Q93077","H2AC7","H2AC6","poor",0
"P20671","Q93079","H2AC7","H2BC9","rich",0
"P20671","Q96A08","H2AC7","H2BC1","rich",979
"P20671","Q96BJ3","H2AC7","AIDA","poor",0
"P20671","Q96BZ8","H2AC7","LENG1","poor",0
"P20671","Q96DY7","H2AC7","MTBP","poor",0
"P20671","Q96GP6","H2AC7","SCARF2","rich",0
"P20671","Q96HQ0","H2AC7","ZNF419","poor",0
"P20671","Q96KK5","H2AC7","H2AC12","rich",0
"P20671","Q96M83","H2AC7","CCDC7","poor",0
"P20671","Q96NW7","H2AC7","LRRC7","poor",0
"P20671","Q99250","H2AC7","SCN2A","poor",0
"P20671","Q99525","H2AC7","H4C7","poor",0
"P20671","Q99877","H2AC7","H2BC15","rich",910
"P20671","Q99878","H2AC7","H2AC14","rich",453
"P20671","Q99879","H2AC7","H2BC14","rich",887
"P20671","Q99880","H2AC7","H2BC13","rich",926
"P20671","Q9BTM1","H2AC7","H2AJ","rich",0
"P20671","Q9BV97","H2AC7","ZNF747","poor",0
"P20671","Q9H156","H2AC7","SLITRK2","poor",0
"P20671","Q9HCM7","H2AC7","FBRSL1","poor",0
"P20671","Q9NRD8","H2AC7","DUOX2","poor",0
"P20671","Q9NRL2","H2AC7","BAZ1A","poor",181
"P20671","Q9NTI5","H2AC7","PDS5B","poor",0
"P20671","Q9UBW7","H2AC7","ZMYM2","poor",0
"P20671","Q9UG63","H2AC7","ABCF2","poor",0
"P20671","Q9UI47","H2AC7","CTNNA3","poor",0
"P20671","Q9UIG0","H2AC7","BAZ1B","poor",914
"P20671","Q9UQP3","H2AC7","TNN","poor",0
"P20671","Q9Y238","H2AC7","DLEC1","poor",0
"P20671","Q9Y2W1","H2AC7","THRAP3","poor",0
"P20671","Q9Y520","H2AC7","PRRC2C","poor",0
"P20671","Q9Y5W8","H2AC7","SNX13","poor",0
"P20671","Q9Y606","H2AC7","PUS1","poor",0
"P20671","Q9Y6F1","H2AC7","PARP3","poor",188
"P20700","P39880","LMNB1","CUX1","poor",0
"P20700","P42167","LMNB1","TMPO","rich",990
"P20700","P49917","LMNB1","LIG4","poor",0
"P20700","P57053","LMNB1","H2BC12L","poor",0
"P20700","P62807","LMNB1","H2BC4","poor",0
"P20700","Q03252","LMNB1","LMNB2","rich",971
"P20700","Q16778","LMNB1","H2BC21","poor",0
"P20700","Q4G0J3","LMNB1","LARP7","poor",187
"P20700","Q9P225","LMNB1","DNAH2","poor",0
"P20810","P35579","CAST","MYH9","poor",0
"P20839","Q14019","IMPDH1","COTL1","poor",0
"P20929","P62805","NEB","H4C1","poor",0
"P20930","Q15233","FLG","NONO","poor",0
"P20936","P22492","RASA1","H1-6","poor",0
"P20936","Q02539","RASA1","H1-1","poor",0
"P20936","Q16777","RASA1","H2AC20","poor",0
"P20936","Q6FI13","RASA1","H2AC18","poor",0
"P20936","Q7L7L0","RASA1","H2AW","poor",0
"P20936","Q93077","RASA1","H2AC6","poor",0
"P20936","Q96KK5","RASA1","H2AC12","poor",0
"P20936","Q99878","RASA1","H2AC14","poor",0
"P20936","Q9BTM1","RASA1","H2AJ","poor",0
"P21127","P26373","CDK11B","RPL13","poor",0
"P21127","Q12830","CDK11B","BPTF","poor",0
"P21246","Q92499","PTN","DDX1","poor",0
"P21281","P36543","ATP6V1B2","ATP6V1E1","poor",999
"P21281","P38606","ATP6V1B2","ATP6V1A","poor",999
"P21281","Q96A05","ATP6V1B2","ATP6V1E2","poor",987
"P21291","P60709","CSRP1","ACTB","poor",268
"P21291","P62736","CSRP1","ACTA2","poor",544
"P21291","P63261","CSRP1","ACTG1","poor",262
"P21291","P63267","CSRP1","ACTG2","poor",409
"P21291","P68032","CSRP1","ACTC1","poor",391
"P21291","P68133","CSRP1","ACTA1","poor",301
"P21291","Q562R1","CSRP1","ACTBL2","poor",190
"P21333","P30044","FLNA","PRDX5","poor",0
"P21333","P35251","FLNA","RFC1","poor",0
"P21333","P52594","FLNA","AGFG1","poor",0
"P21333","P58876","FLNA","H2BC5","poor",0
"P21333","P60709","FLNA","ACTB","poor",762
"P21333","P62736","FLNA","ACTA2","poor",579
"P21333","P62805","FLNA","H4C1","poor",0
"P21333","P62807","FLNA","H2BC4","poor",0
"P21333","P63208","FLNA","SKP1","poor",0
"P21333","P63261","FLNA","ACTG1","poor",660
"P21333","P63267","FLNA","ACTG2","poor",470
"P21333","P68032","FLNA","ACTC1","poor",436
"P21333","P68133","FLNA","ACTA1","poor",882
"P21333","P68431","FLNA","H3C1","poor",281
"P21333","P84243","FLNA","H3-3A","poor",0
"P21333","Q16777","FLNA","H2AC20","poor",0
"P21333","Q562R1","FLNA","ACTBL2","poor",190
"P21333","Q5JSZ5","FLNA","PRRC2B","poor",0
"P21333","Q5SSJ5","FLNA","HP1BP3","poor",0
"P21333","Q5TEC6","FLNA","H3-7","poor",0
"P21333","Q6FI13","FLNA","H2AC18","poor",0
"P21333","Q6NXT2","FLNA","H3-5","poor",0
"P21333","Q71DI3","FLNA","H3C15","poor",0
"P21333","Q7L7L0","FLNA","H2AW","poor",0
"P21333","Q8IUE6","FLNA","H2AC21","poor",0
"P21333","Q8IVV2","FLNA","LOXHD1","poor",0
"P21333","Q93077","FLNA","H2AC6","poor",0
"P21333","Q93079","FLNA","H2BC9","poor",0
"P21333","Q96CB8","FLNA","INTS12","poor",0
"P21333","Q96KK5","FLNA","H2AC12","poor",0
"P21333","Q96QV6","FLNA","H2AC1","poor",0
"P21333","Q99877","FLNA","H2BC15","poor",0
"P21333","Q99878","FLNA","H2AC14","poor",0
"P21333","Q99880","FLNA","H2BC13","poor",0
"P21333","Q9BTM1","FLNA","H2AJ","poor",0
"P21333","Q9UIG0","FLNA","BAZ1B","poor",0
"P21333","Q9Y2S6","FLNA","TMA7","poor",0
"P21333","Q9Y520","FLNA","PRRC2C","poor",0
"P21796","P68431","VDAC1","H3C1","poor",0
"P21796","P84243","VDAC1","H3-3A","poor",0
"P21796","Q16695","VDAC1","H3-4","poor",0
"P21796","Q71DI3","VDAC1","H3C15","poor",0
"P21796","Q7Z7A1","VDAC1","CNTRL","poor",0
"P21912","P31040","SDHB","SDHA","poor",999
"P21912","Q99643","SDHB","SDHC","poor",999
"P21926","Q9P2B2","CD9","PTGFRN","poor",998
"P22087","Q99536","FBL","VAT1","poor",0
"P22087","Q9Y3A2","FBL","UTP11","poor",981
"P22090","P23527","RPS4Y1","H2BC17","poor",0
"P22090","P26447","RPS4Y1","S100A4","poor",0
"P22090","P62847","RPS4Y1","RPS24","poor",0
"P22090","Q5QNW6","RPS4Y1","H2BC18","poor",0
"P22090","Q93079","RPS4Y1","H2BC9","poor",0
"P22102","Q7KZF4","GART","SND1","poor",0
"P22307","P51659","SCP2","HSD17B4","poor",996
"P22492","P23527","H1-6","H2BC17","poor",0
"P22492","P33778","H1-6","H2BC3","poor",0
"P22492","P57053","H1-6","H2BC12L","poor",0
"P22492","P58876","H1-6","H2BC5","poor",0
"P22492","P62805","H1-6","H4C1","rich",0
"P22492","P62807","H1-6","H2BC4","rich",0
"P22492","P62979","H1-6","RPS27A","poor",0
"P22492","P62987","H1-6","UBA52","poor",0
"P22492","P68431","H1-6","H3C1","rich",0
"P22492","P84243","H1-6","H3-3A","rich",0
"P22492","Q05D32","H1-6","CTDSPL2","poor",0
"P22492","Q16695","H1-6","H3-4","rich",0
"P22492","Q16777","H1-6","H2AC20","rich",0
"P22492","Q16778","H1-6","H2BC21","poor",0
"P22492","Q5QNW6","H1-6","H2BC18","poor",0
"P22492","Q5TEC6","H1-6","H3-7","rich",0
"P22492","Q6FI13","H1-6","H2AC18","rich",0
"P22492","Q6NXT2","H1-6","H3-5","rich",0
"P22492","Q71DI3","H1-6","H3C15","rich",0
"P22492","Q7L7L0","H1-6","H2AW","rich",0
"P22492","Q8IUE6","H1-6","H2AC21","poor",0
"P22492","Q8N257","H1-6","H2BU1","poor",0
"P22492","Q93077","H1-6","H2AC6","rich",0
"P22492","Q93079","H1-6","H2BC9","poor",0
"P22492","Q96A08","H1-6","H2BC1","poor",0
"P22492","Q96KK5","H1-6","H2AC12","rich",0
"P22492","Q96QV6","H1-6","H2AC1","poor",0
"P22492","Q99877","H1-6","H2BC15","poor",0
"P22492","Q99878","H1-6","H2AC14","rich",0
"P22492","Q99879","H1-6","H2BC14","poor",0
"P22492","Q99880","H1-6","H2BC13","poor",0
"P22492","Q9BTM1","H1-6","H2AJ","rich",0
"P22492","Q9H3R1","H1-6","NDST4","poor",0
"P22492","Q9Y314","H1-6","NOSIP","poor",0
"P22492","Q9Y520","H1-6","PRRC2C","poor",0
"P22626","P23246","HNRNPA2B1","SFPQ","poor",951
"P22626","P37802","HNRNPA2B1","TAGLN2","poor",382
"P22626","P42677","HNRNPA2B1","RPS27","poor",183
"P22626","P43243","HNRNPA2B1","MATR3","poor",989
"P22626","P51991","HNRNPA2B1","HNRNPA3","rich",980
"P22626","P61978","HNRNPA2B1","HNRNPK","rich",998
"P22626","P62081","HNRNPA2B1","RPS7","poor",295
"P22626","Q13185","HNRNPA2B1","CBX3","poor",781
"P22626","Q15181","HNRNPA2B1","PPA1","poor",179
"P22626","Q15233","HNRNPA2B1","NONO","poor",778
"P22626","Q32P51","HNRNPA2B1","HNRNPA1L2","rich",240
"P22626","Q6Y7W6","HNRNPA2B1","GIGYF2","poor",0
"P22626","Q71RC2","HNRNPA2B1","LARP4","poor",179
"P22626","Q86SE5","HNRNPA2B1","RALYL","poor",0
"P22626","Q8NF91","HNRNPA2B1","SYNE1","poor",0
"P22626","Q8WZ42","HNRNPA2B1","TTN","rich",178
"P22626","Q96HP0","HNRNPA2B1","DOCK6","poor",0
"P22626","Q9NUQ6","HNRNPA2B1","SPATS2L","poor",0
"P22626","Q9NYF8","HNRNPA2B1","BCLAF1","poor",589
"P22626","Q9Y2W1","HNRNPA2B1","THRAP3","poor",200
"P22695","P47985","UQCRC2","UQCRFS1","poor",999
"P22695","Q8N0Y7","UQCRC2","PGAM4","poor",0
"P23141","P27816","CES1","MAP4","poor",0
"P23193","P31946","TCEA1","YWHAB","poor",0
"P23193","P46778","TCEA1","RPL21","poor",0
"P23246","P43243","SFPQ","MATR3","poor",998
"P23246","P68104","SFPQ","EEF1A1","poor",259
"P23246","Q15233","SFPQ","NONO","rich",998
"P23246","Q32P51","SFPQ","HNRNPA1L2","poor",335
"P23246","Q53T94","SFPQ","TAF1B","poor",0
"P23246","Q5VTE0","SFPQ","EEF1A1P5","poor",0
"P23246","Q7Z4Q2","SFPQ","HEATR3","poor",0
"P23246","Q8WXF1","SFPQ","PSPC1","rich",948
"P23284","P29350","PPIB","PTPN6","poor",0
"P23381","P68104","WARS1","EEF1A1","poor",362
"P23381","Q05639","WARS1","EEF1A2","poor",0
"P23381","Q14103","WARS1","HNRNPD","poor",0
"P23381","Q5VTE0","WARS1","EEF1A1P5","poor",0
"P23381","Q6ZR08","WARS1","DNAH12","poor",0
"P23381","Q7Z417","WARS1","NUFIP2","poor",0
"P23396","P46783","RPS3","RPS10","poor",999
"P23396","P60866","RPS3","RPS20","rich",999
"P23396","P62273","RPS3","RPS29","poor",999
"P23396","P62861","RPS3","FAU","poor",999
"P23396","P63244","RPS3","RACK1","rich",999
"P23396","Q8NC51","RPS3","SERBP1","rich",912
"P23396","Q8TB72","RPS3","PUM2","poor",194
"P23396","Q96GA3","RPS3","LTV1","poor",999
"P23508","Q7Z406","MCC","MYH14","poor",0
"P23508","Q96AG4","MCC","LRRC59","poor",0
"P23508","Q9BUQ8","MCC","DDX23","poor",0
"P23527","P26358","H2BC17","DNMT1","poor",0
"P23527","P26583","H2BC17","HMGB2","rich",0
"P23527","P26641","H2BC17","EEF1G","poor",0
"P23527","P35251","H2BC17","RFC1","poor",0
"P23527","P35659","H2BC17","DEK","poor",0
"P23527","P42695","H2BC17","NCAPD3","poor",0
"P23527","P42696","H2BC17","RBM34","rich",0
"P23527","P46013","H2BC17","MKI67","poor",0
"P23527","P46821","H2BC17","MAP1B","poor",0
"P23527","P53999","H2BC17","SUB1","poor",0
"P23527","P57053","H2BC17","H2BC12L","rich",0
"P23527","P60709","H2BC17","ACTB","poor",0
"P23527","P61204","H2BC17","ARF3","poor",0
"P23527","P62701","H2BC17","RPS4X","poor",0
"P23527","P62805","H2BC17","H4C1","rich",0
"P23527","P62826","H2BC17","RAN","poor",0
"P23527","P62937","H2BC17","PPIA","poor",0
"P23527","P62979","H2BC17","RPS27A","rich",0
"P23527","P62987","H2BC17","UBA52","rich",0
"P23527","P63261","H2BC17","ACTG1","poor",0
"P23527","P68032","H2BC17","ACTC1","poor",0
"P23527","P68133","H2BC17","ACTA1","poor",0
"P23527","P68431","H2BC17","H3C1","rich",0
"P23527","P78316","H2BC17","NOP14","poor",0
"P23527","P84243","H2BC17","H3-3A","rich",0
"P23527","Q02539","H2BC17","H1-1","rich",0
"P23527","Q05D32","H2BC17","CTDSPL2","poor",0
"P23527","Q08752","H2BC17","PPID","poor",0
"P23527","Q12802","H2BC17","AKAP13","poor",0
"P23527","Q12904","H2BC17","AIMP1","poor",0
"P23527","Q13123","H2BC17","IK","rich",0
"P23527","Q13151","H2BC17","HNRNPA0","poor",0
"P23527","Q13185","H2BC17","CBX3","poor",0
"P23527","Q13191","H2BC17","CBLB","poor",0
"P23527","Q13415","H2BC17","ORC1","poor",0
"P23527","Q13601","H2BC17","KRR1","poor",0
"P23527","Q14119","H2BC17","VEZF1","poor",0
"P23527","Q14185","H2BC17","DOCK1","poor",0
"P23527","Q14676","H2BC17","MDC1","poor",0
"P23527","Q14687","H2BC17","GSE1","poor",0
"P23527","Q14764","H2BC17","MVP","poor",0
"P23527","Q14839","H2BC17","CHD4","poor",0
"P23527","Q14980","H2BC17","NUMA1","poor",0
"P23527","Q15003","H2BC17","NCAPH","poor",0
"P23527","Q15050","H2BC17","RRS1","poor",0
"P23527","Q15651","H2BC17","HMGN3","rich",0
"P23527","Q15843","H2BC17","NEDD8","poor",0
"P23527","Q15906","H2BC17","VPS72","poor",0
"P23527","Q16695","H2BC17","H3-4","rich",0
"P23527","Q16777","H2BC17","H2AC20","rich",0
"P23527","Q53EL6","H2BC17","PDCD4","poor",0
"P23527","Q5QJE6","H2BC17","DNTTIP2","poor",0
"P23527","Q5SSJ5","H2BC17","HP1BP3","poor",0
"P23527","Q5TEC6","H2BC17","H3-7","rich",0
"P23527","Q641Q2","H2BC17","WASHC2A","poor",0
"P23527","Q6FI13","H2BC17","H2AC18","rich",0
"P23527","Q6NXT2","H2BC17","H3-5","rich",0
"P23527","Q6P2Q9","H2BC17","PRPF8","poor",0
"P23527","Q71DI3","H2BC17","H3C15","rich",0
"P23527","Q71UI9","H2BC17","H2AZ2","rich",0
"P23527","Q7L7L0","H2BC17","H2AW","rich",0
"P23527","Q7Z4V5","H2BC17","HDGFL2","poor",0
"P23527","Q86XA9","H2BC17","HEATR5A","poor",0
"P23527","Q8IUE6","H2BC17","H2AC21","rich",0
"P23527","Q8NFC6","H2BC17","BOD1L1","poor",0
"P23527","Q8TD47","H2BC17","RPS4Y2","poor",0
"P23527","Q92922","H2BC17","SMARCC1","poor",0
"P23527","Q93077","H2BC17","H2AC6","rich",0
"P23527","Q96A08","H2BC17","H2BC1","poor",0
"P23527","Q96BJ3","H2BC17","AIDA","poor",0
"P23527","Q96KK5","H2BC17","H2AC12","rich",0
"P23527","Q96LR5","H2BC17","UBE2E2","poor",0
"P23527","Q96M83","H2BC17","CCDC7","poor",0
"P23527","Q96ME7","H2BC17","ZNF512","poor",0
"P23527","Q96P70","H2BC17","IPO9","poor",0
"P23527","Q96PU4","H2BC17","UHRF2","poor",0
"P23527","Q96QV6","H2BC17","H2AC1","rich",0
"P23527","Q96T88","H2BC17","UHRF1","poor",0
"P23527","Q99878","H2BC17","H2AC14","rich",0
"P23527","Q9BTM1","H2BC17","H2AJ","rich",0
"P23527","Q9BV97","H2BC17","ZNF747","poor",0
"P23527","Q9NR30","H2BC17","DDX21","poor",0
"P23527","Q9P0M6","H2BC17","MACROH2A2","poor",0
"P23527","Q9P258","H2BC17","RCC2","poor",0
"P23527","Q9UBW7","H2BC17","ZMYM2","poor",0
"P23527","Q9UIG0","H2BC17","BAZ1B","poor",0
"P23527","Q9UPT8","H2BC17","ZC3H4","poor",0
"P23527","Q9UPU5","H2BC17","USP24","poor",0
"P23527","Q9UQP3","H2BC17","TNN","poor",0
"P23527","Q9Y2K7","H2BC17","KDM2A","poor",0
"P23527","Q9Y4D8","H2BC17","HECTD4","poor",0
"P23527","Q9Y520","H2BC17","PRRC2C","poor",0
"P23527","Q9Y6F1","H2BC17","PARP3","rich",0
"P23528","P26358","CFL1","DNMT1","poor",0
"P23528","P50991","CFL1","CCT4","poor",173
"P23528","P60709","CFL1","ACTB","rich",998
"P23528","P62316","CFL1","SNRPD2","poor",0
"P23528","P62736","CFL1","ACTA2","rich",725
"P23528","P63261","CFL1","ACTG1","rich",991
"P23528","P63267","CFL1","ACTG2","rich",698
"P23528","P68032","CFL1","ACTC1","rich",826
"P23528","P68133","CFL1","ACTA1","rich",997
"P23528","Q04637","CFL1","EIF4G1","poor",0
"P23528","Q16718","CFL1","NDUFA5","poor",0
"P23528","Q562R1","CFL1","ACTBL2","poor",504
"P23528","Q7L576","CFL1","CYFIP1","poor",377
"P23528","Q8WXX0","CFL1","DNAH7","poor",0
"P23528","Q9BR76","CFL1","CORO1B","poor",885
"P23528","Q9ULV4","CFL1","CORO1C","poor",573
"P23588","P38919","EIF4B","EIF4A3","poor",939
"P23588","P60842","EIF4B","EIF4A1","poor",999
"P23588","P62280","EIF4B","RPS11","poor",430
"P23588","Q14240","EIF4B","EIF4A2","poor",999
"P23588","Q5VTL8","EIF4B","PRPF38B","poor",0
"P23588","Q9H1H9","EIF4B","KIF13A","poor",0
